,description_x
1113,"When a prank goes wrong, a shy kid from Compton is sent away for murder. Four years later, he’s back and out for revenge on homecoming weekend."
1116,An exploration of different personas in an eclectic collection of four works by critically acclaimed Korean directors.
1117,"With the world under attack by deadly creatures who hunt by sound, a teen and her family seek refuge outside the city and encounter a mysterious cult."
1120,"An affable, newly appointed college warden proves to be no ordinary man when an old enemy resurfaces and exposes his complicated, violent past."
1124,Shocking secrets begin to unravel when the aftermath of a car crash leaves four best friends questioning the truth of their relationships.
1125,Shocking secrets begin to unravel when the aftermath of a car crash leaves four best friends questioning the truth of their relationships.
1127,"In early 1990s Malaysia, a Tamilian boy faces pressure from his immigrant father to focus on school but is drawn to his uncles’ lives of crime."
1128,"When a guileless young woman becomes the domestic worker in a wealthy Dubai household, her bond with her posh employer changes both of their lives."
1129,A man returns home to Atlanta to try and turn around his family's struggling restaurant with the help of a new chicken recipe.
1130,A man returns home to Atlanta to try and turn around his family's struggling restaurant with the help of a new chicken recipe.
1132,"Decades ago, a hero from the stars left this world in peace. Now, the son of Ultraman must rise to protect the Earth from a new alien threat."
1134,"When a man is left to die inside an illegal gold mine, his daughter travels through a magical landscape to save him."
1135,"Equipped with crayons and his creativity, a boy with autism draws an imaginary world where his animal pals help him tackle real-life situations."
1136,"On India's Independence Day, a zany mishap in a Mumbai chawl disrupts a young love story while compelling the residents to unite in aid of a little boy."
1137,"Social pressure, a complicated past and a clash of values beset the life of a businessman and his family."
1138,"As World War II ends, a young English woman agrees to help an enigmatic American agent root out Russian infiltration of the British government."
1139,King Louis XIV of France commissions a lavish palace that becomes a fierce battleground for love and politics – and a gilded prison for nobility.
1140,King Louis XIV of France commissions a lavish palace that becomes a fierce battleground for love and politics – and a gilded prison for nobility.
1142,"While investigating a bank robbery, a squad of overweight police officers undergoes rigorous training to shed pounds."
1143,"A space-time continuum glitch allows Vera to save a boy's life 25 years earlier, but results in the loss of her daughter, whom she fights to get back."
1146,"In this unflinching biopic based on Mötley Crüe's best-selling book, four LA misfits navigate the monster highs and savage lows of music superstardom."
1152,"When his son's mom runs afoul of Paris's criminal underworld, a thrill-seeking superbike racer begins moonlighting as a drug courier to clear her debt."
1153,Fifteen-year-old ballet dancer Lara faces physical and emotional hurdles as she prepares for gender confirmation surgery. Inspired by a true story.
1154,Fifteen-year-old ballet dancer Lara faces physical and emotional hurdles as she prepares for gender confirmation surgery. Inspired by a true story.
1155,"Self-made millionaire Ian thinks he's found happiness when he marries caring Joanna, but his love is put to the test when he meets stewardess Karyn."
1156,"While pursuing a degree in Spain, an architecture student struggling with grief meets a fellow expatriate trying to flee a difficult family life."
